pais;fecha;ranking;cancion;artista;artista_normalizado;fuente
Argentina;2026-03-19;1;LA VILLA;Ryan Castro, Kapo, Gangsta;Ryan Castro;Spotify Charts
Argentina;2026-03-19;2;Cuando No Era Cantante - Remix;El Bogueto, Anuel AA, Fuerza Regida, Yung Beef;El Bogueto;Spotify Charts
Argentina;2026-03-19;3;Puñaladas;Lauta, Amigo de Artistas, Tote;Lauta;Spotify Charts
Argentina;2026-03-19;4;Soy Favela;La T y La M;La T y La M;Spotify Charts
Argentina;2026-03-19;5;UWAIE - versión cumbia;Max Carra;Max Carra;Spotify Charts
Argentina;2026-03-19;6;BAILE INoLVIDABLE;Bad Bunny;Bad Bunny;Spotify Charts
Argentina;2026-03-19;7;FOREVER TU GANTEL;Omar Courtz, Ñengo Flow;Omar Courtz;Spotify Charts
Argentina;2026-03-19;8;Cuando No Era Cantante;El Bogueto, Yung Beef;El Bogueto;Spotify Charts
Argentina;2026-03-19;9;Tu jardín con enanitos;Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES;Roze Oficial;Spotify Charts
Argentina;2026-03-19;10;DtMF;Bad Bunny;Bad Bunny;Spotify Charts
Argentina;2026-03-19;11;TU VAS SIN (fav);Rels B;Rels B;Spotify Charts
Argentina;2026-03-19;12;JETSKI - Remix;PEDRO SAMPAIO, Emilia, MC Meno K, Melody;PEDRO SAMPAIO;Spotify Charts
Argentina;2026-03-19;13;VOY A LLeVARTE PA PR;Bad Bunny;Bad Bunny;Spotify Charts
Argentina;2026-03-19;14;POR SI MAÑANA NO ESTOY;Omar Courtz;Omar Courtz;Spotify Charts
Argentina;2026-03-19;15;Pensamientos;Airbag;Airbag;Spotify Charts
Argentina;2026-03-19;16;VeLDÁ;Bad Bunny, Omar Courtz, Dei V;Bad Bunny;Spotify Charts
Argentina;2026-03-19;17;La Perla;ROSALÍA, Yahritza Y Su Esencia;ROSALÍA;Spotify Charts
Argentina;2026-03-19;18;EoO;Bad Bunny;Bad Bunny;Spotify Charts
Argentina;2026-03-19;19;Niño;Milo j;Milo j;Spotify Charts
Argentina;2026-03-19;20;La Plena - W Sound 05;W Sound, Beéle, Ovy On The Drums;W Sound;Spotify Charts
Argentina;2026-03-19;21;Amor de Vago;La T y La M, Malandro;La T y La M;Spotify Charts
Argentina;2026-03-19;22;no tiene sentido;Beéle;Beéle;Spotify Charts
Argentina;2026-03-19;23;NUEVAYoL;Bad Bunny;Bad Bunny;Spotify Charts
Argentina;2026-03-19;24;Yo te conozco :):;De La Rose;De La Rose;Spotify Charts
Argentina;2026-03-19;25;Como Eran Las Cosas;Babasonicos;Babasonicos;Spotify Charts
Argentina;2026-03-19;26;KOKO;Omar Courtz;Omar Courtz;Spotify Charts
Argentina;2026-03-19;27;No Se Va;La T y La M;La T y La M;Spotify Charts
Argentina;2026-03-19;28;YO y TÚ;Ovy On The Drums, Quevedo, Beéle;Ovy On The Drums;Spotify Charts
Argentina;2026-03-19;29;mi refe;Beéle, Ovy On The Drums;Beéle;Spotify Charts
Argentina;2026-03-19;30;capaz (merengueton);Alleh, Yorghaki;Alleh;Spotify Charts
Argentina;2026-03-19;31;Qué Pasaría...;Rauw Alejandro, Bad Bunny;Rauw Alejandro;Spotify Charts
Argentina;2026-03-19;32;KLOuFRENS;Bad Bunny;Bad Bunny;Spotify Charts
Argentina;2026-03-19;33;La Noche Sin Tí;Los Huayra;Los Huayra;Spotify Charts
Argentina;2026-03-19;34;End of Beginning;Djo;Djo;Spotify Charts
Argentina;2026-03-19;35;Por Mil Noches;Airbag;Airbag;Spotify Charts
Argentina;2026-03-19;36;SOLEAO;Myke Towers, Quevedo;Myke Towers;Spotify Charts
Argentina;2026-03-19;37;A las Nueve;No Te Va Gustar;No Te Va Gustar;Spotify Charts
Argentina;2026-03-19;38;LA CANCIÓN;J Balvin, Bad Bunny;J Balvin;Spotify Charts
Argentina;2026-03-19;39;YOGURCITO REMIX (feat. Kris R., ROA);Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA;Blessd;Spotify Charts
Argentina;2026-03-19;40;Manchild;Sabrina Carpenter;Sabrina Carpenter;Spotify Charts
Argentina;2026-03-19;41;QLOO*;Young Cister, Kreamly;Young Cister;Spotify Charts
Argentina;2026-03-19;42;Diles;Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz;Bad Bunny;Spotify Charts
Argentina;2026-03-19;43;Daddy Yankee: Bzrp Music Sessions, Vol. 0/66;Bizarrap, Daddy Yankee;Bizarrap;Spotify Charts
